POST_ID,TEXTO,LIKES
3149380581751009,Invitamos a nuestra comunidad educativa a participar en el Primer Modelo Virtual de la OEA para universidades. Para mayor información puedes escribir a las direcciones de correo electrónico que se detallan e ingresar a https://bit.ly/2zLtuO0,18
3111662118856189,Le recordamos a nuestra comunidad educativa que mañana se realizarán los exámenes diferidos de la quinta evaluación.,4
3103955402960194,Compartimos información a nuestra comunidad educativa.,4
3149472518408482,"Invitamos a nuestra comunidad educativa a participar en el seminario web Programa de uso libre para la edición de videos, a cargo del Ing. Guillermo Guzmán, docente Utec.",52
3148838635138537,"¡No te detengas, sigue adelante!
Inscríbete en los cursos libres que tenemos para ti.
#SoyUtec #SigoAdelante",6
3149445915077809,"¡Curso Adobe Educa!
Inscríbete ya y actualiza tus conocimientos en diseño editorial, diseño de aplicaciones y sitios web, entre otros. Si no inscribiste interciclo solo debes seguir los pasos que se te detallan.",16
3124914597530941,"Buscar y valorar la diversidad es uno de los temas que se desarrollarán en la Summer School Online. ¡Regístrate y participa!
Serán 10 sesiones entre webinars, paneles y talleres gratuitos, con la participación de expertos de países como Japón, México, Chile, España, Perú, Estados Unidos y Bulgaria. Este webinar se llevará a cabo de 8:00 a 9:30 a.m., hora de El Salvador.
Para registrarte ingresa a https://bit.ly/3d83Bpl tienes como fecha límite el 24 de junio.
Las indicaciones para unirte a las sesiones serán enviadas tras el cierre de las inscripciones.",1
3148835588472175,"¡Construye tu futuro! Inscríbete en el ciclo 03-2020.
#SoyUtec #SigoAdelante",27
3137372006285200,"Les invitamos a participar en la conferencia virtual Desarrollo del ecosistema emprendedor en tiempos de pandemia: Enfoque en parques industriales de Israel, a desarrollarse el 26 de junio, a las 7:30 a.m. (hora de El Salvador)
Para participar ingresa a https://bit.ly/30QujQC",1
3148779545144446,"Si eres amante del diseño, la ilustración, animación y producción de video, esta oportunidad es para ti. Inscríbete en el curso Adobe Educa. Si no inscribiste interciclo solo debes seguir los pasos que se te detallan.
¡No esperes más!",37
3148552321833835,"Les compartimos la participación del Ing. Roberto Viera, Investigador Utec, en el noticiero Teleprensa 33, en el que abordó el tema Proyecciones de los casos de Covid-19.",5
3148593801829687,"En este momento se aborda el tema Fortaleciendo el amor de pareja, en el programa #33TeEscucha
Canal 33 was live.
Yesterday at 1:33 PM ·
#33TeEscucha | Conversamos sobre el ""Fortaleciendo el amor de pareja"", con la Licda. Ana Aguilar, psicóloga de la Universidad Tecnológica.",9
3141167449238989,"#33TeEscucha | Hoy se abordará el tema Fortaleciendo el amor de pareja, con la participación de la Licda. Ana Sandra Aguilar de Mendoza, psicóloga Utec.
Sintoniza Canal 33",4
3068043089884759,Te recordamos que mañana es la fecha límite para solicitar corrección de notas de la cuarta evaluación.,11
3146649545357446,"Les compartimos la participación del Ing. Roberto Viera, Investigador Utec, en el noticiero Teleprensa 33, en el que abordó el tema Proyecciones de los casos de Covid-19.",11
3111649002190834,Le compartimos a nuestra comunidad educativa la fecha en la que se realizarán los exámenes diferidos de la quinta evaluación.,11
3145933722095695,"En este momento se aborda el tema Separación emocional, en el programa #33TeEscucha
Canal 33 was live.
June 18 at 1:32 PM ·
#33TeEscucha | Este día conversamos sobre la separación emocional, con la Licda. Elisa Vega, psicóloga de la Utec. Conduce: Mónica Benítez.",17
3145665648789169,"Invitamos a nuestra comunidad educativa a conectarse al Instagram Live que desarrollará Lab Utec Núcleo, en el que abordará el tema Enfoque y Cultura Agile con el invitado Tony Carbonero, director de INNBOX, quien es experto en metodologías y procesos de innovación.
Conéctate al live desde el perfil @utec_nucleo",7
3140638619291872,"#33TeEscucha | Hoy se abordará el tema Separación emocional, con la participación de la Licda. Elisa Vega, psicóloga Utec.
Sintoniza Canal 33",18
3111622795526788,Les recordamos que mañana es la fecha límite para tramitar exámenes diferidos de la quinta evaluación.,19
3124911060864628,"Invitamos a nuestra comunidad educativa a inscribirse en la Summer School Online.
Se desarrollarán temas como la Comunicación y colaboración y tendrás a tu disposición webinars, paneles y talleres gratuitos, con la participación de expertos de países como Japón, México, Chile, España, Perú, Estados Unidos y Bulgaria. Esta conferencia se llevará a cabo de 2:00 a 3:30 p.m., hora de El Salvador.
Para registrarte ingresa a https://bit.ly/3d83Bpl tienes como fecha límite el 24 de junio.
Las indicaciones para unirte a las sesiones serán enviadas tras el cierre de las inscripciones.",1
3140723752616692,"Informamos a nuestra comunidad educativa sobre el periodo de inscripción extraordinaria, ciclo 03-2020",56
3140652239290510,Le recordamos a nuestra comunidad educativa que mañana inician las clases del ciclo 03-2020,145
3068041003218301,Informamos a nuestra comunidad educativa sobre la fecha límite para tramitar corrección de notas de la cuarta evaluación.,39
3103950189627382,Compartimos información a nuestra comunidad educativa.,6
3140627435959657,"#33TeEscucha | Hoy se abordará el tema Amor en cuarentena, con la participación del Lic. Benjamín López, psicólogo Utec.
Sintoniza Canal 33",17
3124875077534893,"¿Quieres saber cómo influye la psicología política en el manejo del Covid-19?
Te invitamos a participar mañana en la videoconferencia que tenemos preparada para ti.",15
3137369696285431,"Les invitamos a participar en la conferencia virtual Desarrollo del ecosistema emprendedor en tiempos de pandemia: Enfoque en parques industriales de Israel, a desarrollarse el 26 de junio, a las 7:30 a.m. (hora de El Salvador)
Para participar ingresa a https://bit.ly/30QujQC",9
3141158592573208,"Compartimos con nuestra comunidad educativa el aporte de la Utec a la Secretaría de innovación. Con el trabajo realizado desde nuestro 3D LAB se está proveyendo equipo a médicos y enfermeras.
3D LAB
May 20 at 5:32 PM ·
Nuestras impresoras trabajan arduamente para proteger parte de nuestro sistema de salud en #ElSalvador, con la iniciativa Hagamos+ estamos concentrados en seguir fabricando las caretas necesarias, aportando nuestra experiencia en fabricación digital.
-
-
-
-
#ImaginaCreaAprende #SeUnMaker #HechoenElSalvador #COVID_19SV #Impresión3d #makers #3dlabutec",3
3140648495957551,Informamos a nuestra comunidad educativa sobre el inicio de clases del ciclo 03-2020,277
